UKBPPP_ProteinID	olink_target_fullname	OlinkID	UniProt	Assay	Panel	Panel_Lot_Nr	UniProt2	HGNC.symbol	Docname	Code	ensembl_id	chr	gene_start	gene_end	Strand	Dilution_factor	block
AARSD1:Q9BTE6:OID21311:v1	Alanyl-tRNA editing protein Aarsd1	OID21311	Q9BTE6	AARSD1	Oncology	B04412	Q9BTE6	AARSD1	AARSD1_Q9BTE6_OID21311_v1_Oncology.tar	syn51471562	ENSG00000266967	17	42950526	42964498	-1	01:01	B
ABHD14B:Q96IU4:OID20921:v1	Protein ABHD14B	OID20921	Q96IU4	ABHD14B	Neurology	B04414	Q96IU4	ABHD14B	ABHD14B_Q96IU4_OID20921_v1_Neurology.tar	syn51470065	ENSG00000114779	3	51968510	51983409	-1	01:01	B
ABL1:P00519:OID21280:v1	Tyrosine-protein kinase ABL1	OID21280	P00519	ABL1	Oncology	B04412	P00519	ABL1	ABL1_P00519_OID21280_v1_Oncology.tar	syn51468700	ENSG00000097007	9	130713016	130887675	1	01:01	B
ACAA1:P09110:OID21269:v1	"3-ketoacyl-CoA thiolase, peroxisomal "	OID21269	P09110	ACAA1	Oncology	B04412	P09110	ACAA1	ACAA1_P09110_OID21269_v1_Oncology.tar	syn51471196	ENSG00000060971	3	38103129	38137242	-1	01:01	A
ACAN:P16112:OID20159:v1	Aggrecan core protein	OID20159	P16112	ACAN	Cardiometabolic	B04413	P16112	ACAN	ACAN_P16112_OID20159_v1_Cardiometabolic.tar	syn51469712	ENSG00000157766	15	88803436	88875353	1	01:10	B
ACE2:Q9BYF1:OID20105:v1	Angiotensin-converting enzyme 2	OID20105	Q9BYF1	ACE2	Cardiometabolic	B04413	Q9BYF1	ACE2	ACE2_Q9BYF1_OID20105_v1_Cardiometabolic.tar	syn51470344	ENSG00000130234	X	15494566	15607236	-1	01:01	A
ACOX1:Q15067:OID20124:v1	Peroxisomal acyl-coenzyme A oxidase 1	OID20124	Q15067	ACOX1	Cardiometabolic	B04413	Q15067	ACOX1	ACOX1_Q15067_OID20124_v1_Cardiometabolic.tar	syn51468701	ENSG00000161533	17	75941507	75979177	-1	01:10	B
ACP5:P13686:OID20314:v1	Tartrate-resistant acid phosphatase type 5	OID20314	P13686	ACP5	Cardiometabolic	B04413	P13686	ACP5	ACP5_P13686_OID20314_v1_Cardiometabolic.tar	syn51470860	ENSG00000102575	19	11574660	11579008	-1	0.111111111	C
ACP6:Q9NPH0:OID21432:v1	Lysophosphatidic acid phosphatase type 6	OID21432	Q9NPH0	ACP6	Oncology	B04412	Q9NPH0	ACP6	ACP6_Q9NPH0_OID21432_v1_Oncology.tar	syn51470643	ENSG00000162836	1	147629652	147670524	-1	01:01	C
ACTA2:P62736:OID20079:v1	"Actin, aortic smooth muscle "	OID20079	P62736	ACTA2	Cardiometabolic	B04413	P62736	ACTA2	ACTA2_P62736_OID20079_v1_Cardiometabolic.tar	syn51469126	ENSG00000107796	10	88935074	88991339	-1	01:01	A
ACTN4:O43707:OID20435:v1	Alpha-actinin-4	OID20435	O43707	ACTN4	Inflammation	B04411	O43707	ACTN4	ACTN4_O43707_OID20435_v1_Inflammation.tar	syn51468905	ENSG00000130402	19	38647649	38731589	1	01:01	A
ACVRL1:P37023:OID20999:v1	Serine/threonine-protein kinase receptor R3	OID20999	P37023	ACVRL1	Neurology	B04414	P37023	ACVRL1	ACVRL1_P37023_OID20999_v1_Neurology.tar	syn51468763	ENSG00000139567	12	51906908	51923361	1	01:01	B
ACY1:Q03154:OID20137:v1	Aminoacylase-1	OID20137	Q03154	ACY1	Cardiometabolic	B04413	Q03154	ACY1	ACY1_Q03154_OID20137_v1_Cardiometabolic.tar	syn51470131	ENSG00000243989	3	51983340	51989197	1	01:10	B
ADA:P00813:OID20645:v1	Adenosine deaminase	OID20645	P00813	ADA	Inflammation	B04411	P00813	ADA	ADA_P00813_OID20645_v1_Inflammation.tar	syn51470111	ENSG00000196839	20	44619522	44652233	-1	01:01	C
ADA2:Q9NZK5:OID20394:v1	Adenosine deaminase 2	OID20394	Q9NZK5	ADA2	Cardiometabolic	B04413	Q9NZK5	ADA2	ADA2_Q9NZK5_OID20394_v1_Cardiometabolic.tar	syn51469366	ENSG00000093072	22	17178790	17258235	-1	0.736111111	D
ADAM15:Q13444:OID20109:v1	Disintegrin and metalloproteinase domain-containing protein 15	OID20109	Q13444	ADAM15	Cardiometabolic	B04413	Q13444	ADAM15	ADAM15_Q13444_OID20109_v1_Cardiometabolic.tar	syn51470500	ENSG00000143537	1	155050566	155062775	1	01:01	A
ADAM22:Q9P0K1:OID21001:v1	Disintegrin and metalloproteinase domain-containing protein 22	OID21001	Q9P0K1	ADAM22	Neurology	B04414	Q9P0K1	ADAM22	ADAM22_Q9P0K1_OID21001_v1_Neurology.tar	syn51470175	ENSG00000008277	7	87934143	88202889	1	01:01	B
ADAM23:O75077:OID20651:v1	Disintegrin and metalloproteinase domain-containing protein 23	OID20651	O75077	ADAM23	Inflammation	B04411	O75077	ADAM23	ADAM23_O75077_OID20651_v1_Inflammation.tar	syn51470197	ENSG00000114948	2	206443532	206621127	1	01:01	C
ADAM8:P78325:OID21039:v1	Disintegrin and metalloproteinase domain-containing protein 8	OID21039	P78325	ADAM8	Neurology	B04414	P78325	ADAM8	ADAM8_P78325_OID21039_v1_Neurology.tar	syn51470522	ENSG00000151651	10	133262420	133276868	-1	01:10	C
ADAMTS13:Q76LX8:OID20249:v1	A disintegrin and metalloproteinase with thrombospondin motifs 13	OID20249	Q76LX8	ADAMTS13	Cardiometabolic	B04413	Q76LX8	ADAMTS13	ADAMTS13_Q76LX8_OID20249_v1_Cardiometabolic.tar	syn51468611	ENSG00000160323	9	133414358	133459402	1	0.111111111	C
ADAMTS15:Q8TE58:OID21275:v1	A disintegrin and metalloproteinase with thrombospondin motifs 15	OID21275	Q8TE58	ADAMTS15	Oncology	B04412	Q8TE58	ADAMTS15	ADAMTS15_Q8TE58_OID21275_v1_Oncology.tar	syn51468665	ENSG00000166106	11	130448645	130476645	1	01:01	B
ADAMTS16:Q8TE57:OID20089:v1	A disintegrin and metalloproteinase with thrombospondin motifs 16	OID20089	Q8TE57	ADAMTS16	Cardiometabolic	B04413	Q8TE57	ADAMTS16	ADAMTS16_Q8TE57_OID20089_v1_Cardiometabolic.tar	syn51469537	ENSG00000145536	5	5140330	5320304	1	01:01	A
ADAMTS8:Q9UP79:OID21502:v1	A disintegrin and metalloproteinase with thrombospondin motifs 8	OID21502	Q9UP79	ADAMTS8	Oncology	B04412	Q9UP79	ADAMTS8	ADAMTS8_Q9UP79_OID21502_v1_Oncology.tar	syn51471347	ENSG00000134917	11	130404923	130428609	-1	01:10	D
ADCYAP1R1:P41586:OID21188:v1	Pituitary adenylate cyclase-activating polypeptide type I receptor	OID21188	P41586	ADCYAP1R1	Oncology	B04412	P41586	ADCYAP1R1	ADCYAP1R1_P41586_OID21188_v1_Oncology.tar	syn51471394	ENSG00000078549	7	31052308	31111479	1	01:01	A
ADGRB3:O60242:OID20974:v1	Adhesion G protein-coupled receptor B3	OID20974	O60242	ADGRB3	Neurology	B04414	O60242	ADGRB3	ADGRB3_O60242_OID20974_v1_Neurology.tar	syn51470778	ENSG00000135298	6	68635282	69390571	1	01:01	B
ADGRE2:Q9UHX3:OID20755:v1	Adhesion G protein-coupled receptor E2	OID20755	Q9UHX3	ADGRE2	Inflammation	B04411	Q9UHX3	ADGRE2	ADGRE2_Q9UHX3_OID20755_v1_Inflammation.tar	syn51469551	ENSG00000127507	19	14732392	14778560	-1	01:10	D
ADGRE5:P48960:OID20260:v1	CD97 antigen	OID20260	P48960	ADGRE5	Cardiometabolic	B04413	P48960	ADGRE5	ADGRE5_P48960_OID20260_v1_Cardiometabolic.tar	syn51468421	ENSG00000123146	19	14380501	14408725	1	0.111111111	C
ADGRG1:Q9Y653:OID21294:v1	Adhesion G-protein coupled receptor G1	OID21294	Q9Y653	ADGRG1	Oncology	B04412	Q9Y653	ADGRG1	ADGRG1_Q9Y653_OID21294_v1_Oncology.tar	syn51469563	ENSG00000205336	16	57610652	57665580	1	01:01	B
ADGRG2:Q8IZP9:OID20189:v1	Adhesion G-protein coupled receptor G2	OID20189	Q8IZP9	ADGRG2	Cardiometabolic	B04413	Q8IZP9	ADGRG2	ADGRG2_Q8IZP9_OID20189_v1_Cardiometabolic.tar	syn51471240	ENSG00000173698	X	18989307	19122637	-1	01:10	B
ADH4:P08319:OID20117:v1	All-trans-retinol dehydrogenase [NAD	OID20117	P08319	ADH4	Cardiometabolic	B04413	P08319	ADH4	ADH4_P08319_OID20117_v1_Cardiometabolic.tar	syn51471289	ENSG00000198099	4	99123657	99157792	-1	01:01	A
ADM:P35318:OID21467:v1	ADM	OID21467	P35318	ADM	Oncology	B04412	P35318	ADM	ADM_P35318_OID21467_v1_Oncology.tar	syn51468664	ENSG00000148926	11	10305073	10307397	1	01:01	C
AFP:P02771:OID20978:v1	Alpha-fetoprotein	OID20978	P02771	AFP	Neurology	B04414	P02771	AFP	AFP_P02771_OID20978_v1_Neurology.tar	syn51470299	ENSG00000081051	4	73431138	73456174	1	01:01	B
AGER:Q15109:OID20756:v1	Advanced glycosylation end product-specific receptor	OID20756	Q15109	AGER	Inflammation	B04411	Q15109	AGER	AGER_Q15109_OID20756_v1_Inflammation.tar	syn51468798	ENSG00000204305	6	32180968	32184322	-1	01:10	D
AGR2:O95994:OID20896:v1	Anterior gradient protein 2 homolog	OID20896	O95994	AGR2	Neurology	B04414	O95994	AGR2	AGR2_O95994_OID20896_v1_Neurology.tar	syn51471222	ENSG00000106541	7	16791811	16833433	-1	01:01	A
AGR3:Q8TD06:OID21243:v1	Anterior gradient protein 3	OID21243	Q8TD06	AGR3	Oncology	B04412	Q8TD06	AGR3	AGR3_Q8TD06_OID21243_v1_Oncology.tar	syn51469645	ENSG00000173467	7	16859412	16881987	-1	01:01	A
AGRN:O00468:OID20786:v1	Agrin	OID20786	O00468	AGRN	Inflammation	B04411	O00468	AGRN	AGRN_O00468_OID20786_v1_Inflammation.tar	syn51468633	ENSG00000188157	1	1020120	1056118	1	01:10	D
AGRP:O00253:OID20658:v1	Agouti-related protein	OID20658	O00253	AGRP	Inflammation	B04411	O00253	AGRP	AGRP_O00253_OID20658_v1_Inflammation.tar	syn51471023	ENSG00000159723	16	67482571	67483547	-1	01:01	C
AGXT:P21549:OID20139:v1	Serine--pyruvate aminotransferase	OID20139	P21549	AGXT	Cardiometabolic	B04413	P21549	AGXT	AGXT_P21549_OID20139_v1_Cardiometabolic.tar	syn51468930	ENSG00000172482	2	240868824	240880502	1	01:10	B
AHCY:P23526:OID20199:v1	Adenosylhomocysteinase	OID20199	P23526	AHCY	Cardiometabolic	B04413	P23526	AHCY	AHCY_P23526_OID20199_v1_Cardiometabolic.tar	syn51470240	ENSG00000101444	20	34280268	34311802	-1	01:10	B
AHSP:Q9NZD4:OID21078:v1	Alpha-hemoglobin-stabilizing protein	OID21078	Q9NZD4	AHSP	Neurology	B04414	Q9NZD4	AHSP	AHSP_Q9NZD4_OID21078_v1_Neurology.tar	syn51468414	ENSG00000169877	16	31527900	31528803	1	0.111111111	D
AIF1:P55008:OID21234:v1	Allograft inflammatory factor 1	OID21234	P55008	AIF1	Oncology	B04412	P55008	AIF1	AIF1_P55008_OID21234_v1_Oncology.tar	syn51470791	ENSG00000204472	6	31615217	31617021	1	01:01	A
AIFM1:O95831:OID21287:v1	"Apoptosis-inducing factor 1, mitochondrial "	OID21287	O95831	AIFM1	Oncology	B04412	O95831	AIFM1	AIFM1_O95831_OID21287_v1_Oncology.tar	syn51469999	ENSG00000156709	X	130124666	130165879	-1	01:01	B
AK1:P00568:OID20122:v1	Adenylate kinase isoenzyme 1	OID20122	P00568	AK1	Cardiometabolic	B04413	P00568	AK1	AK1_P00568_OID20122_v1_Cardiometabolic.tar	syn51471062	ENSG00000106992	9	127866486	127877675	-1	01:10	B
AKR1B1:P15121:OID21244:v1	Aldo-keto reductase family 1 member B1	OID21244	P15121	AKR1B1	Oncology	B04412	P15121	AKR1B1	AKR1B1_P15121_OID21244_v1_Oncology.tar	syn51468721	ENSG00000085662	7	134442356	134459284	-1	01:01	A
AKR1C4:P17516:OID20062:v1	Aldo-keto reductase family 1 member C4	OID20062	P17516	AKR1C4	Cardiometabolic	B04413	P17516	AKR1C4	AKR1C4_P17516_OID20062_v1_Cardiometabolic.tar	syn51469028	ENSG00000198610	10	5195462	5218949	1	01:01	A
AKT1S1:Q96B36:OID20895:v1	Proline-rich AKT1 substrate 1	OID20895	Q96B36	AKT1S1	Neurology	B04414	Q96B36	AKT1S1	AKT1S1_Q96B36_OID20895_v1_Neurology.tar	syn51469116	ENSG00000204673	19	49869033	49878459	-1	01:01	A
AKT3:Q9Y243:OID21197:v1	RAC-gamma serine/threonine-protein kinase	OID21197	Q9Y243	AKT3	Oncology	B04412	Q9Y243	AKT3	AKT3_Q9Y243_OID21197_v1_Oncology.tar	syn51470944	ENSG00000117020	1	243488233	243851079	-1	01:01	A
ALCAM:Q13740:OID20273:v1	CD166 antigen	OID20273	Q13740	ALCAM	Cardiometabolic	B04413	Q13740	ALCAM	ALCAM_Q13740_OID20273_v1_Cardiometabolic.tar	syn51471198	ENSG00000170017	3	105366909	105576900	1	0.111111111	C
ALDH1A1:P00352:OID21128:v1	Retinal dehydrogenase 1	OID21128	P00352	ALDH1A1	Neurology	B04414	P00352	ALDH1A1	ALDH1A1_P00352_OID21128_v1_Neurology.tar	syn51471350	ENSG00000165092	9	72900671	73080442	-1	0.111111111	D
ALDH3A1:P30838:OID20512:v1	"Aldehyde dehydrogenase, dimeric NADP-preferring "	OID20512	P30838	ALDH3A1	Inflammation	B04411	P30838	ALDH3A1	ALDH3A1_P30838_OID20512_v1_Inflammation.tar	syn51469607	ENSG00000108602	17	19737984	19748943	-1	01:01	B
ALPP:P05187:OID21383:v1	"Alkaline phosphatase, placental type "	OID21383	P05187	ALPP	Oncology	B04412	P05187	ALPP	ALPP_P05187_OID21383_v1_Oncology.tar	syn51469883	ENSG00000163283	2	232378724	232382889	1	01:01	B
AMBN:Q9NP70:OID20437:v1	Ameloblastin	OID20437	Q9NP70	AMBN	Inflammation	B04411	Q9NP70	AMBN	AMBN_Q9NP70_OID20437_v1_Inflammation.tar	syn51468672	ENSG00000178522	4	70592256	70607288	1	01:01	A
AMBP:P02760:OID21413:v1	Protein AMBP [Cleaved into: Alpha-1-microglobulin	OID21413	P02760	AMBP	Oncology	B04412	P02760	AMBP	AMBP_P02760_OID21413_v1_Oncology.tar	syn51470188	ENSG00000106927	9	114060127	114078328	-1	01:01	C
AMFR:Q9UKV5:OID20806:v1	E3 ubiquitin-protein ligase AMFR	OID20806	Q9UKV5	AMFR	Neurology	B04414	Q9UKV5	AMFR	AMFR_Q9UKV5_OID20806_v1_Neurology.tar	syn51470371	ENSG00000159461	16	56361452	56425545	-1	01:01	A
